A,B,C,D,E,F
33,115.13,1,37.47,-36.8232,-75.4987
35,121.4,28,280.14,-38.5844,-57.2036
2,22.1,13,145.02,-46.4131,-68.8101
27,97.5,15,163.18,-29.9747,-92.2524
5,31.08,32,316.5,7.16738,18.6716
25,91.01,34,334.52,-34.4215,-62.098
16,64.39,0,28.54,0.829038,0.559192
5,31.43,0,28.42,3.50698,7.19035
17,67.56,21,217.53,-1.58976,-2.54414
22,82.47,26,262.03,-77.0548,-28.0456
5,31.52,27,271.22,-67.1692,-58.3892
17,67.37,14,154.21,-67.6844,-27.3463
25,91.48,29,289.2,45.5222,34.3034
19,73.26,13,145.38,39.2085,11.9872
28,100.47,3,55.27,-58.0326,-39.1435
3,25.27,20,208.36,40.7839,19.0178
28,100.5,38,370.1,90.9259,63.6669
4,28.25,22,226.02,-12.1281,-42.2955
9,43.44,33,325.54,44.0372,86.4276
25,91.56,24,244.02,18.2503,22.5372
15,61.24,18,190.19,84.3737,34.0892
9,43.4,38,370.28,-67.1969,-28.5234
0,16.27,26,262.17,-3.69397,-4.72806
30,106.04,20,208.17,-49.9618,-68.7664
26,94.53,1,37.45,-19.0526,-11
17,67.18,23,235.4,60.0405,31.924
5,31.56,38,370.17,17.4431,47.9243
17,67.38,29,289.47,15.4072,7.1845
24,88.23,14,154.1,51.211,27.2293
20,76.26,26,262.38,-17.8399,-33.552
28,100.08,27,271.28,-6.76148,-1.81173
12,52.37,37,361.48,-19.0526,-11
33,115.44,23,235.05,25.1769,24.313
23,85.04,35,343.26,-66.244,-73.5713
15,61.19,33,325.34,49.0007,45.6939
32,112.54,11,127.01,-20.0739,-22.2943
0,16.48,15,163.47,-11.4107,-24.4703
34,118.27,10,118.42,-12.4741,-6.35586
6,34.1,37,361.3,-3.03202,-10.5739
30,106.07,8,100.52,29.9747,92.2524
15,61.48,30,298.14,69.7529,37.0882
26,94.22,2,46.29,-66.745,-5.83943
0,16.56,25,253.2,-7.60845,-2.47213
29,103.55,34,334.09,-77.2251,-60.3348
1,19.26,30,298.02,3.03202,10.5739
25,91.3,4,64.32,-33.8601,-93.0295
29,103.28,8,100.55,20.6732,7.52444
9,43.27,10,118.13,-79.7551,-37.1904
29,103.33,29,289.38,-39.6418,-28.8015
11,49,35,343.03,-12.5864,-15.5429
6,34.35,37,361.1,-20.7585,-67.8976
8,40.17,39,379.03,-57.6757,-16.5382
32,112.37,8,100.38,1.31512,2.69638
2,22.22,31,307.31,28.6789,40.9576
9,43.13,3,55.33,-34.8385,-86.2281
29,102.97,11,127.41,32.3566,15.7813
9,43.21,36,352.56,-0.65606,-0.754709
25,91.13,28,279.99,-37.8415,-9.43495
39,133.07,4,64.31,-5.23713,-18.264
23,85.18,36,352.06,24.7225,13.1452
5,31.22,12,136.49,4.49529,11.1262
18,70.14,26,262.37,43.5028,20.2857
0,16.39,4,64.43,33.5954,65.9345
9,43.19,10,118.28,-13.906,-23.1435
3,25.45,25,253.31,44.1286,34.477
35,121.07,21,217.36,-41.6019,-44.6125
36,124.25,37,361.26,-43.7783,-72.8592
17,67.17,5,74.25,27.6553,4.38016
14,58.21,35,343.11,-51.325,-43.0667
26,94.01,5,72.97,22.2163,5.95283
9,43.55,3,55.33,2.88379,0.826911
19,73.1,14,154.43,-83.7958,-19.3458
16,64.2,3,55.51,-22.0921,-9.37754
30,106.45,21,217.01,48.9787,27.1493
10,46.5,15,163.26,-20.1451,-20.8608
30,106.37,3,55.3,-52.7941,-54.6698
28,100.42,2,46.19,-99.6195,-8.71557
32,112.3,29,289.52,62.1651,57.9698
20,76.38,6,82.05,-83.0284,-53.9192
11,49.11,22,226.28,-71.2422,-59.7792
25,92.18,33,325.26,-62.7852,-16.8232
4,28.31,26,261.97,5.55727,5.75471
33,115.44,33,324.97,22.7401,12.605
3,25.02,5,73.42,-2.1131,-4.53154
3,25.42,10,118.35,-1.85411,-5.70634
34,118.07,3,55.23,46.7571,45.1528
31,109.04,28,280.23,-1.364,-1.46271
8,40.17,9,108.99,74.2731,55.9688
3,25.5,27,271.1,-26.8883,-10.8636
1,19.03,36,352,-28.6157,-45.7946
0,16.07,18,190.32,16.02,37.7407
1,19.01,1,37.26,86.3515,10.6026
29,103.22,15,163.51,35.7317,4.38729
