A,B,C,D,E,F
18,69.99,23,235.16,-39.7118,-13.6739
29,102.99,34,334.38,-57.7107,-12.2668
6,34.01,37,361.14,29.0781,43.1099
3,25.46,33,325.04,-26.7407,-54.8264
18,70.03,5,73.22,-16.3135,-7.60712
34,118.49,16,172.31,-76.2506,-10.7163
3,25.28,11,127.12,-38.5001,-66.6839
8,40.18,28,280.14,-37.0131,-83.1326
18,70.24,3,55.53,33.8074,9.05866
18,70.07,29,289.27,15.3009,4.67794
13,55.5,12,136.06,14.3332,49.9856
16,64.28,0,28.3,-40.5714,-87.0055
26,93.99,26,262.15,10.4007,3.58125
26,94.54,3,55.14,-60.0733,-10.5925
37,127.5,26,262.41,-43.1915,-81.2311
3,25.1,26,262.52,50.328,26.7599
3,25.53,34,333.98,-29.0886,-52.4772
23,85.11,17,180.98,-58.3513,-60.4245
31,108.99,31,307.08,-56.2674,-58.2665
25,91.07,18,190.18,9.4415,27.42
5,31.55,10,118.31,-90.1144,-12.6647
31,109.45,25,253.39,16.9069,1.77698
37,127.32,4,64.16,-10.037,-11.1472
17,67.19,6,82.44,15.2034,49.7278
25,91.45,8,100.02,-74.0521,-17.0963
7,37.49,10,118.11,-10.064,-6.53566
33,115.55,17,180.99,24.2254,57.0713
2,22.42,21,217.4,-25.0305,-77.0356
38,130.2,6,82.11,-8.40222,-3.22531
5,30.98,22,226.49,-15.0894,-17.3583
5,31.36,19,199.26,-58.5995,-32.4822
5,31.52,12,136.24,34.9063,62.9726
22,82.19,16,172.16,23.7832,28.3436
29,103.08,35,343.08,-48.6373,-62.2528
13,55.32,39,379.53,72.9322,45.573
22,82.24,18,190.41,33.5852,23.5166
16,64.36,1,37.31,-19.4796,-48.2135
15,61.19,28,280.24,-36.1089,-47.9181
9,43.29,1,37.36,67.0668,31.2737
8,40.39,21,217.21,-77.2737,-16.425
37,127.49,29,289,71.1449,42.7481
29,103.2,39,379.13,-28.941,-11.1094
22,82.23,2,46.31,46.9846,17.101
16,64.33,21,217.42,20.6568,38.8497
5,31.44,7,91.21,70.7298,6.18805
7,37.25,15,163.25,77.9425,36.3451
3,25.54,3,55.01,-28.8666,-33.2072
24,88.08,38,370.52,-21.4903,-50.6277
2,22,2,46.11,-35.9961,-42.8985
17,67.4,17,181.04,-51.5039,-85.7167
23,85.53,22,226.42,-56.8761,-63.1673
12,52.46,8,100.33,-11.8523,-1.87721
18,70.04,26,262.06,15.8897,31.1852
17,67.02,33,325.08,-54.7428,-29.1072
24,88.18,36,352.23,77.2409,10.8555
37,127.06,0,28.36,80.5404,46.5
23,85.22,11,127.26,91.8053,28.0677
28,100.17,28,280.09,11.2673,21.1907
3,25.53,21,217.38,11.4025,37.2959
35,121.48,7,91.29,-41.8979,-9.67289
32,112.46,38,370.42,-22.6617,-37.7153
32,112.2,5,73.32,-12.6668,-2.92436
16,64.01,21,217.37,-83.5879,-40.7685
12,52.16,32,316.06,-41.5352,-51.2916
39,133.5,25,253.02,-1.94874,-0.449902
1,19.41,34,334.19,-14.3078,-22.8973
37,127.36,3,54.98,50.7434,18.4691
1,19.25,20,208.54,39.6418,28.8015
11,49.29,21,217.39,61.4364,43.0182
38,130.12,30,298.25,-52.7691,-75.362
8,39.97,11,127.35,60.0017,36.0526
0,16.08,24,244.15,-10.5655,-22.6577
6,33.99,31,307.4,-50.6672,-11.6974
35,121.24,8,100.51,49.4437,82.288
8,40.55,27,271.53,-74.7163,-64.9498
24,88.48,19,199.26,93.0296,33.86
38,130.49,18,189.97,72.0841,45.0431
7,37.11,8,100.36,9.40457,12.9443
11,49.41,16,172.55,-57.0974,-26.6249
11,49.53,35,343.2,-20.1873,-37.9667
30,106.32,18,190.02,-96.4626,-22.2701
6,34.11,39,379.31,-89.6421,-20.6955
7,37.02,0,28.14,37.6302,5.28857
29,103.48,7,91.56,22.672,21.1419
20,76.49,1,37.07,4.9939,9.80107
14,58.45,5,73.29,-68.2204,-37.8151
4,28.17,23,235.32,-20.978,-51.9223
25,91.43,36,351.97,0.342021,0.939692
18,70.48,12,136.12,73.0518,59.1561
4,28.28,11,127.04,53.033,53.033
21,79.52,4,64.08,-43.8372,-89.8794
18,70.16,34,334.15,-25.3336,-5.84872
7,37.03,13,145.07,-24.5746,-17.2073
38,130.13,1,37.07,-74.8446,-38.1352
5,31.19,19,199.54,-15.9748,-5.81434
4,28.13,30,298.56,12.2021,27.4064
29,102.98,16,172.27,-67.6579,-24.6254
24,88.03,30,298.37,-55.1492,-9.72429
6,34.04,3,55.06,-9.66089,-8.69869
18,70.11,39,379.03,-33.287,-10.8156
35,121.22,0,28.49,-23.9641,-36.9015
1,18.98,38,370.18,-36.4379,-6.42498
1,19.38,32,316.12,12.8575,7.72557
31,109.18,20,208.27,49.9588,83.1452
11,49.33,17,181.31,-62.7556,-39.214
13,55.54,37,361.3,-8.65136,-2.48073
3,25.28,24,244.06,-13.435,-13.435
32,112.53,3,55.54,13.0701,5.01715
36,124.27,37,361.52,31.1239,85.512
19,73.51,15,163.47,-47.3837,-72.9643
28,100.29,15,163.27,64.9499,74.7162
14,58,17,181.16,-3.99318,-3.00907
31,109.08,18,190.4,11.1839,16.5807
30,106.28,1,37.34,62.7556,39.214
1,19.52,29,289.01,-47.1195,-35.5071
38,130.07,39,379.19,-11.1839,-16.5807
35,121.14,16,172.46,-7.38794,-9.45612
39,132.99,39,379.06,47.0266,84.8381
