A,B,C,D,E,F
24,278.51,33,204.2,41.7812,49.7929
16,198.41,21,144.31,-26.6976,-19.3969
34,378.17,13,104.45,-60.8676,-19.7771
10,138.39,38,229.2,-16.7907,-2.65938
15,188.17,38,229.2,-10.8158,-18.0005
6,98.49,32,200.28,25.4318,5.4057
16,198.4,28,179.11,72.4522,62.9816
19,228.17,30,189.35,-5.99104,-9.22537
10,138.33,27,174.08,-6.4322,-21.0387
30,338.49,8,79.21,-16.901,-31.7861
36,398.12,13,104.32,37.0838,19.7178
6,98.46,37,224.37,18.5848,3.95032
25,288,16,119.39,49.4816,32.1337
38,418.26,10,89,-38.0273,-71.5187
3,68.22,36,219.19,-38.0423,-12.3607
17,208.04,34,209.49,-39.4006,-30.7831
10,139.52,8,79.55,96.277,11.8213
25,288.11,22,149.19,-11.1262,-4.49528
4,78.52,37,224.09,71.6974,62.3256
1,48.01,16,119.55,-73.803,-47.9282
12,158,2,49.02,-70.7107,-70.7106
20,238.21,27,174.43,5.86098,13.8076
32,358.34,26,169.5,-58.91,-27.4702
13,168.53,37,224.14,-43.1421,-21.0418
14,178,20,139.32,-58.3004,-43.9325
16,198.18,16,119.12,-51.7925,-50.0154
31,348.11,35,214.51,21.9406,20.4599
9,128.28,29,184.53,53.1259,14.235
24,278.4,21,144.26,-7.28116,-5.29006
4,78.35,19,134.01,8.72659,15.7431
4,78.39,23,154.52,32.2313,93.6063
30,338.3,7,74.31,64.9519,37.5
6,98.22,33,203.99,21.4802,44.0409
10,138.52,4,59.51,-57.4356,-8.07203
6,98.04,6,69.37,19.0564,31.7152
38,418.24,20,139.45,-43.8456,-39.4787
26,298.51,31,194.4,11.836,24.2674
32,357.98,24,159.55,-12.8301,-11.153
39,428.51,17,124.23,19.9273,46.9457
3,68.43,21,144.53,83.1825,11.6905
32,358.45,20,139.37,-3.51659,-8.28454
38,418.08,0,39.51,-10.8646,-1.72078
39,428.14,30,189.42,35.5566,83.7659
15,188.5,20,139.39,1.11839,1.65807
34,378.16,23,153.99,-74.5999,-36.3848
4,78.52,34,209.36,41.5291,31.2944
24,278.18,38,229.54,-14.9227,-10.0655
11,148.1,8,79.02,-26.6676,-4.22373
36,398.31,5,64.1,-30.6018,-9.35589
11,148.09,5,64.43,-27.2824,-6.29862
10,138.09,1,44.09,-30.4338,-9.88854
18,218.43,28,179.21,-17.4896,-7.42389
8,118.42,29,184.55,61.5379,7.55589
9,128.17,31,194.14,84.0045,48.5
6,98.27,23,154.32,-34.7712,-39.9996
37,407.99,39,234.45,74.6134,50.3273
33,368.27,10,89.38,-48.9406,-22.8214
16,198.35,33,204.02,-31.808,-87.3914
36,398.47,6,69.16,-10.8636,-26.8883
31,348.12,3,54.31,-32.6753,-12.5429
17,208.24,38,229.06,77.3224,32.8214
5,88.04,39,234.4,53.4923,66.0574
23,268.2,1,44.41,0.990268,0.139173
25,288.36,39,234.05,-48.8519,-58.2193
13,168.17,19,134.54,-5.00001,-8.66025
3,68.44,10,89.38,16.5448,15.9771
38,418.19,21,144.39,-91.9459,-19.5437
5,88.35,23,154.48,-29.4337,-25.5863
29,328.09,3,54.49,-56.2106,-80.2769
16,198.52,16,119.22,23.6721,48.5349
12,158.41,28,179.32,-26.7369,-93.2424
28,318.25,1,43.97,23.1662,11.8037
31,348.19,31,194.31,67.1692,58.3892
21,247.99,25,164.2,8.96575,0.784401
22,258.32,12,99.29,10.5,18.1865
26,298.03,0,39.55,89.0097,35.9622
12,158.39,33,204,12.3128,33.8289
0,38.12,34,209.54,-16.961,-10.5984
2,58.41,31,194.06,-40.5022,-17.1922
39,428.37,27,173.97,67.9239,59.0453
15,188.25,21,144.14,-91.855,-14.5484
11,148.44,28,179.14,18.4228,33.2355
36,398.17,11,94.49,-29.0477,-89.3993
14,178.27,13,104.42,21.2012,13.248
27,308.47,1,44.29,3.4641,2
12,158.26,11,94.04,-49.9507,-66.2867
0,38.15,1,44.52,-20.9668,-13.616
16,198.02,4,59.35,-54.4473,-54.4472
36,398.54,27,174.2,14.3649,39.4671
5,88.01,25,164.14,82.7419,26.8845
30,338.46,0,39.3,29.6602,14.4662
24,278.06,12,99.17,97.0828,53.8138
18,218.31,9,84.52,10.8178,35.3833
28,318.18,19,134.06,0.358369,0.93358
7,108.21,17,124.28,15.686,16.8211
30,338.32,28,179.06,-19.2252,-5.51274
36,398.31,8,79.31,17.0965,35.053
2,58.21,25,164.49,-5.79556,-1.55291
19,228.01,2,48.98,75.6491,59.1035
22,258.27,30,189.15,-97.437,-22.4951
25,288.41,8,79.43,-30.2054,-48.3387
6,98.39,8,79.56,-36.9808,-32.1469
20,238.11,14,109.26,-10.1029,-8.18116
16,198.05,33,203.97,-93.7179,-28.6524
30,338.33,29,184.26,-53.1408,-61.1314
17,208.4,34,209.48,-82.2607,-51.4021
18,218.33,9,84.22,-56.6877,-5.95812
8,118.37,32,199.47,-9.82983,-6.88291
5,88.02,37,224.35,-50.328,-26.7599
34,378.2,34,209.32,51.5231,57.2221
31,348.44,22,149.04,-30.9732,-44.2342
37,408.33,26,169.31,52.4842,7.37617
34,378.03,15,114.03,25.4256,52.13
33,368.32,35,214.28,-62.5352,-29.1606
18,218.05,11,94.35,-46.7373,-22.7953
20,238.44,34,209.31,24.8639,7.60166
39,428.11,0,39.12,27.9989,81.3146
22,258.56,24,159.1,77.4872,29.7445
15,188.3,2,49.09,71.8594,24.7432
5,88.14,30,189.44,-35.7083,-12.9968
39,428.43,37,224.31,51.6831,18.8111
1,48.24,34,209.22,-45.0001,-77.9423
11,148.52,16,119.09,28.3271,47.1442
10,138.53,26,169.19,-2.80074,-1.0751
20,238.16,38,229.16,-15.8976,-25.4414
1,48.02,0,39.36,-65.4719,-70.2099
34,378.18,31,194.45,-32.803,-37.7355
13,168.32,37,224.1,23.9431,45.0303
27,308.13,39,234.53,-30.1921,-19.607
16,198.08,0,39.07,42.6633,76.9665
35,388.38,22,149.39,5.14301,3.09023
33,368.49,1,44.17,-15.7814,-32.3566
5,88.05,16,119.06,15.8702,21.8434
19,228.52,9,84.05,18.4116,37.7493
1,48.08,21,144.41,15.2169,4.94427
38,418.18,5,64.16,-48.2556,-8.50875
14,178.39,4,59.38,-22.4105,-5.17387
36,398.46,19,134.28,-20.3168,-26.0043
34,378.41,20,139.43,-39.4175,-25.598
7,108.49,36,219.38,26.6776,73.296
31,348.11,20,139.11,43.925,33.0998
26,298.27,11,94.17,37.5978,62.5732
33,368.18,28,179.43,-69.6955,-13.5474
30,338.38,5,64.45,23.9591,18.0544
22,258.48,27,174.06,-5.55508,-18.1698
30,338.21,10,89.33,-66.4681,-66.468
13,168.08,18,129.02,-5.73577,-8.19152
21,248.46,19,134.23,9.00001,15.5885
18,218.1,17,124.12,-74.5999,-36.3848
14,178.16,28,179.38,42.5959,29.826
18,218.33,25,164.39,15.1037,18.6515
36,398.36,20,139.33,-33.176,-91.1502
18,218.56,18,129.16,24.2835,66.7182
3,68.45,20,139.02,-32.7661,-22.943
5,88.26,14,109.17,-71.3292,-23.1763
39,428.13,28,179.15,-30.469,-27.4343
22,258.1,14,109.52,-33.706,-28.2826
37,408.31,36,219.2,-15.0894,-17.3583
10,138.49,20,139.06,17.659,9.38942
15,188.06,2,49.41,32.4474,54.0015
18,218.53,33,204.16,37.5116,38.8443
12,158,7,74.28,-47.0229,-64.7213
0,38.18,24,159.4,-38.1051,-22
31,348.47,0,39.03,25.2748,34.7877
17,208.52,10,89.11,58.7755,5.14218
30,338.22,10,89.21,69.2108,19.8459
10,138.09,28,179.06,-27.6901,-34.1944
6,98.44,5,64.38,78.6386,55.0633
21,248.35,38,229.51,50.3457,62.1716
30,338.33,4,59.19,-36.8022,-40.8729
21,248.32,13,104.38,66.1751,10.4811
26,298.5,12,99.4,72.9644,47.3836
17,208.44,20,139.4,-30.3482,-22.869
33,368.5,20,139.37,-9.37757,-22.0921
31,348.43,7,74.47,0,0
1,48.53,28,179.26,17.2517,33.8582
9,128.08,33,204.18,25.695,46.3548
33,368.56,17,123.98,-28.8896,-2.52751
4,78.14,23,154.5,52.6575,49.1039
23,268.21,32,198.98,67.0937,43.5711
23,268.33,4,59.05,83.1985,25.4363
28,318.4,9,84.1,-55.0938,-47.8923
9,128.31,14,109.26,32.9109,30.6899
21,248.19,7,74.17,25.1141,6.72929
6,98.04,17,124.34,-99.6195,-8.71557
4,77.99,13,104.44,38.6279,64.2875
11,148.11,19,134.39,-68.7665,-49.9617
14,177.99,19,133.99,-72.8758,-12.85
32,358.18,8,79.3,62.8157,52.7085
14,178.29,1,44.36,-30.565,-31.6509
30,338.32,38,229.49,8.32907,17.0771
35,388.45,27,174.16,19.8372,54.5022
10,138.49,36,219.08,-47.8986,-79.7165
21,248.13,15,114.2,26.3135,86.0674
25,288.22,0,39.07,-13.5446,-17.3362
38,418.19,3,54.35,-24.2562,-84.591
13,168.3,22,149.25,-71.9035,-35.0697
15,188.06,19,134.13,30.4286,65.2541
15,188.24,16,119.24,17.05,18.2838
17,208.52,25,164,19,32.909
