A,B,C,D,E,F
19,228,23,154.2,-11.4345,-15.1741
27,308.29,24,159.25,-36.3396,-11.1101
4,78.46,15,114.2,-58.0326,-39.1435
2,58.08,38,228.98,-37.4223,-19.0676
7,108.45,19,134.07,84.4867,41.2069
38,417.98,38,229.24,-41.3445,-20.1651
7,108.5,20,139.39,-15.706,-3.05294
14,178.34,6,69.37,-20.3078,-10.7978
5,88.46,22,149.43,0.54464,0.83867
33,368.08,17,124.28,31.1526,42.8779
30,338.18,19,134.53,-29.0554,-57.0244
10,138.47,16,119.15,84.9412,13.4534
21,248.12,20,139.11,-35.5,-61.4878
10,138.48,2,49.38,78.6386,55.0633
26,298.43,9,84.14,75.5481,23.0973
17,208.44,11,94.52,37.5359,28.2853
35,388.18,35,214.21,-74.6283,-46.6329
15,188.34,27,174.05,-50.2252,-8.85605
17,208.15,39,234.41,78.417,23.9745
2,58.13,23,154.16,18.7789,35.3179
14,178.3,37,224.05,-93.0296,-33.86
15,188.49,37,224.17,20.5061,20.5061
20,238.52,9,84.56,-26.7652,-29.7258
14,178.16,19,134.14,42.3815,22.5346
0,38.54,25,164.2,-28.6501,-83.2056
8,118.24,32,199.5,64.7214,47.0228
16,198.16,39,234.06,-67.9896,-47.6068
19,228.1,31,194.11,-67.1484,-48.7861
10,138.31,8,79,26.2225,64.9028
1,48.29,1,44.37,-15.9347,-10.3481
15,188.17,22,149.1,6.85734,4.1203
21,248.43,33,203.99,-37.901,-89.2889
16,198.35,26,169.48,-4.88354,-14.1828
39,428.19,29,184.48,53.7945,4.70641
6,98.49,30,189.55,33.6442,9.6473
17,208.56,18,129.08,-18.4508,-11.982
23,268.12,9,84.43,14.8153,2.34652
18,218.41,0,39.49,60.7533,25.7882
39,428.04,19,134.2,-20.427,-53.2141
27,308.22,32,199.56,-88.6327,-15.6283
36,398.16,11,94.08,-14.5536,-27.3714
7,108.35,3,54.25,14.1421,14.1421
7,108.07,22,149.32,-0.52992,-0.848048
15,188.03,36,219.14,-48.1774,-53.5064
22,258.33,2,49.41,-70.343,-31.3187
6,98.26,39,233.98,27.4005,40.6228
38,418.26,35,214.29,80.1718,21.482
2,58.18,11,94.38,14.3394,20.4788
9,128.08,37,224.26,-48.1774,-53.5064
4,78.42,37,224.11,75.0643,11.889
4,77.99,2,49.26,90.9677,19.3358
0,38.49,23,154.51,22,38.1051
11,148.48,30,189.53,-23.9975,-53.8992
16,198.54,17,124.37,-42.8723,-9.89784
8,118.32,25,164.35,87.9332,30.2778
21,248.56,13,104.47,55.9239,59.971
9,127.99,20,139.18,-41.4227,-17.5829
7,108.41,16,119.31,33.9926,56.573
9,128.11,39,234.14,73.2475,29.5939
39,428.37,15,114.43,-33.5468,-21.7855
33,368.1,17,123.98,47.5613,42.8243
34,378.33,39,234.17,59.7558,34.5
39,428.49,8,79.39,-84.4157,-21.0472
16,198.49,9,84.46,-48.7715,-14.9109
15,188.03,19,134.3,-8.62583,-16.9291
21,248.13,21,144.1,89.2708,32.4919
8,118.22,13,103.99,-15.2795,-7.4523
14,178.08,14,109.49,12.8575,7.72557
26,297.97,29,184.26,-40.1041,-8.52437
32,358.44,30,189.52,3.87848,6.99695
22,258.13,3,54.54,-29.7764,-3.65608
5,88.11,26,169.22,78.2429,33.2121
38,418.56,29,184.53,-11.4678,-29.8746
39,428.3,8,79.48,-6.79207,-1.69345
14,178.55,34,209.14,9.78574,16.2862
10,138.22,31,194.39,13.64,14.6271
2,58.51,21,144.5,41.4227,17.5829
36,398.44,7,74.37,22.8254,7.4164
25,288.15,38,229.19,-24.2254,-57.0713
31,348.12,11,94.3,27.3478,79.4235
10,138.52,20,139.07,-71.6588,-13.929
10,138.23,27,174.24,-21.0419,-43.1421
5,88.49,23,154.48,53.5086,40.3216
28,318.25,22,149.29,64.0395,15.9668
20,237.97,37,224.08,36.3381,85.6069
26,298.48,7,74.24,15.0351,5.47232
35,388.1,26,169.23,-24.6638,-35.2235
26,298.17,39,234.49,-57.6823,-6.06265
5,88.19,5,64.07,28.9488,35.7487
8,118.54,35,214.41,67.3819,69.7759
