A,B,C,D,E,F
24,171.27,20,22.98,80.5737,48.4135
0,-44.59,13,16.33,56.6409,72.4969
26,189.44,24,27.26,-17.2199,-8.02974
33,252.05,21,23.98,29.826,42.5959
12,63.47,5,8.14,8.82948,4.69471
0,-44.71,12,15.34,19.0919,19.0919
35,270.14,34,37.22,-42.4264,-42.4264
11,54.52,30,33.09,81.5048,20.3214
37,288.2,11,14.07,60.294,26.8446
28,207.03,13,16.43,-75.6491,-59.1035
30,224.99,30,33.17,78.6994,6.8853
2,-26.81,4,7.44,55.2848,25.7797
24,171.36,24,27.11,-85.5366,-43.5831
30,224.97,34,37.19,-73.7425,-18.386
11,54.24,24,27.55,-37.3304,-67.3457
25,180.19,20,23.51,70.0185,26.8776
22,153.41,28,31.45,30.7354,49.1868
29,216.29,14,17.53,-17.6121,-11.4374
12,63.42,12,15.38,6.47406,6.25192
18,117.45,12,15.3,35.3554,35.3553
11,54.26,29,32.21,-2.12132,-2.12132
27,198.27,20,23.4,45.2051,69.6096
25,180.18,23,26.16,-39.2104,-15.0514
24,171.32,15,18.27,-66.5006,-8.16524
0,-44.81,32,35.14,20.4661,66.9413
21,144.51,0,3.41,24.9928,7.16657
4,-8.76,18,21.19,25.747,3.6185
10,45.29,20,23.15,-72.1701,-32.1322
35,270.56,3,6.53,46.4597,66.3513
20,135.1,27,30.37,43.0688,44.599
28,207.05,4,7.11,-47.4059,-38.3885
5,0.29,38,41,-18.3545,-26.2129
28,206.98,37,40.23,-29.8093,-61.118
24,171.33,10,13.42,10.489,25.9611
21,144.27,7,10.12,64.1997,10.1682
32,243.27,4,7.47,-45.7954,-10.5727
0,-44.72,18,21.47,56.962,58.9858
10,45.5,5,7.97,36.1223,37.4056
12,63.2,32,35.14,7.1934,6.94658
24,171.44,32,35.05,70.188,61.0134
31,234.29,2,5.03,-5.28759,-11.8761
31,233.99,34,37.08,54.5022,19.8372
30,225.03,26,29.51,29.5683,35.238
27,198.49,17,20.07,6.69131,7.43144
32,243.37,25,28.19,25.2421,32.3084
10,45.37,9,12.16,-90.3097,-17.5544
15,90.36,10,13.37,63.5796,13.5142
39,306.38,19,22.29,-15.7881,-51.6404
26,189.44,14,17.5,-8.18117,-10.1029
32,243.15,7,10.41,29.8746,11.4678
5,0.15,26,29.11,-11.8038,-23.1662
35,270.55,20,23.44,72.3829,15.3855
26,189.35,14,17.14,74.441,9.14019
20,134.98,22,24.99,-30.7169,-28.6439
5,0.34,24,27.47,-3.63193,-7.12805
2,-26.59,39,42.14,73.2314,23.7943
26,189.08,9,12.39,1.89104,0.651136
3,-17.81,33,36.33,-50.0154,-51.7924
26,189.05,14,17.28,23.6822,77.4607
13,72.16,11,14.4,-10.7061,-11.8903
7,18.2,25,28.25,54.9711,10.6853
15,90.16,3,6.22,-0.615662,-0.78801
11,54.27,33,36.23,67.2315,15.5216
39,306.08,19,22.03,-52.9007,-72.8115
32,243.21,16,19.08,52.358,69.4812
38,297.05,23,26.3,4.13458,14.4189
12,63.41,36,39.51,29.2311,6.74853
25,180.46,6,9.07,74.3392,15.8013
11,55.24,1,4.29,-8.55053,-23.4923
10,45.31,14,17.52,-14.6167,-6.50778
10,45.12,5,8.55,6.30409,4.92529
7,18.22,30,33.17,-49.6929,-11.4725
2,-26.7,20,23.21,61.8246,64.0212
33,252.53,39,42.32,91.2913,17.7452
10,45.54,37,40.14,-78.9377,-25.6484
31,234.44,19,22.02,-77.4872,-29.7445
0,-44.79,4,7.23,86.6689,7.58254
12,63.22,32,35.2,29.1097,24.4259
33,252.32,26,29.12,26.2905,49.445
31,233.98,39,42.21,14.6722,3.11867
30,225.06,35,38.48,82.4891,74.2734
18,117.5,16,19.33,47.5613,42.8243
18,117.3,14,17.05,61.4364,43.0182
21,144.15,17,20.18,41.2975,58.9789
18,117.22,18,21.01,33.2356,18.4228
12,63.22,15,19.53,37.1573,33.4565
21,144.24,15,18.51,22.9621,26.4148
14,81.31,12,15.11,49.7279,15.2033
5,0.36,28,31.45,14.7224,8.49999
16,99.23,10,13.17,23.5114,32.3607
12,63.05,24,27.33,-55.3105,-8.76032
2,-26.65,15,18.09,7.88412,20.5388
