A,B,C,D
1,6,19.13,102.36
2,28,24.02,300.18
3,29,29.25,309.09
4,36,34.32,372.21
5,38,39.11,390.21
6,24,44.06,264.19
7,11,49.32,147.34
8,27,54.27,291.04
9,17,59.16,200.99
10,27,65,291.36
11,38,69.32,390.02
12,12,74.31,156.06
13,3,79.01,75.06
14,27,84.04,291.35
15,2,89.07,66
16,35,94.23,363.03
17,5,99.18,93.34
18,33,104.31,345.19
19,3,109.03,75.35
20,30,114.11,318.14
21,6,119.31,102.05
22,21,124.2,237.3
23,6,129,102.17
24,39,134.37,399.36
25,36,139.22,372.02
26,33,144.06,345.2
27,26,149.23,282.05
28,36,154.23,372.16
29,4,159.2,84.34
30,5,164.1,92.98
31,1,169.02,57.3
32,6,174.16,102.26
33,33,179.02,345.28
34,12,184.19,156.05
35,34,189.19,354.02
36,19,194.02,219.17
37,33,199.37,345.07
38,4,204.27,84.12
39,29,209.36,309.2
40,39,214.33,399.03
41,24,219.37,264.12
42,13,224,165.11
43,32,229.03,336.19
44,6,234.14,102.19
45,24,239.25,264.15
46,1,244.29,56.98
47,24,249.29,264.27
48,14,254.12,174.03
49,32,259.17,336.06
50,6,264.18,102.3
51,3,269.21,75.17
52,11,274.18,147.1
53,11,279.04,147.05
54,1,284.14,57.14
55,13,289.28,165.18
56,35,294.26,363.16
57,4,299.04,84.08
58,19,304.27,219.01
59,33,309.11,345.29
60,19,314.08,219.16
61,32,319.31,336.01
62,24,324.02,264.26
63,2,329.15,66.02
64,9,334.13,129.05
65,12,338.99,156.19
66,14,344.23,174.21
67,10,349.21,138.25
68,36,353.98,372.32
69,8,359.28,120.32
70,3,364.24,75.21
71,2,369.15,65.99
72,18,374.32,210.33
73,35,379.01,363.24
74,3,384.09,75.37
75,10,388.98,137.98
76,9,394.22,129.2
77,24,399.21,264.34
78,33,404.19,345.02
79,10,409.24,138.2
80,0,414.22,48.23
81,17,419.03,200.99
82,35,423.98,363.09
83,25,429.04,273.23
84,6,434.16,102.17
85,26,439.36,282.2
86,35,444.27,363.14
87,38,449.36,390.14
88,11,454.08,147.37
89,1,459.03,57
90,36,464.14,372.21
91,29,469.1,309.35
92,30,474.37,318.16
93,27,479.1,291.22
94,1,484.27,57.21
95,3,489.14,75.31
96,15,494.1,183.31
97,2,499.36,66.04
98,13,504.24,165.17
99,4,509.32,84.29
100,31,514.2,327.05
