A,B,C,D,E,F
22,153.21,5,8.38,15.5,26.8468
32,243.17,27,30.55,12.7367,31.5242
13,72.22,3,6.06,16.0595,34.4397
25,180.35,3,6.38,6.6955,11.1432
6,9.27,3,6.14,28.2543,15.0231
0,-44.93,31,34.25,44.5503,22.6995
26,189.23,12,15.12,-10.049,-4.4741
39,306.19,20,23.47,51.5483,21.8809
6,9.38,38,41.43,-70.7666,-21.6355
35,270.41,8,11.13,3.61089,4.79181
36,279.37,7,10.24,24.0572,12.2577
34,261,19,22.26,-6.87139,-1.33566
17,108.1,29,32.42,-8.5961,-20.2511
19,126.46,5,8.39,-52.5861,-38.206
22,152.99,36,39.42,-89.1007,-45.399
33,252.1,26,29.5,-34.7712,-39.9996
33,252.44,25,28.08,-4.49952,-5.36231
25,180.15,36,39.19,-70.4761,-59.1364
3,-17.86,31,34.29,-54.1477,-20.7853
6,9.09,39,42.4,-29.4337,-25.5863
14,81.18,1,4.34,80.746,23.1535
34,261.29,10,13.28,43.712,55.9487
8,27.53,17,20.28,-10,-17.3205
15,90.12,11,14.37,12.9031,1.5843
26,189.06,0,3.16,-5.96713,-0.62717
38,297.09,11,14.24,24.5746,17.2073
29,215.97,22,25.41,-59.3398,-23.9748
7,18.15,20,23.37,0.48481,0.874619
16,99.01,19,22.24,-31.2596,-32.3703
9,36.51,7,10.51,-49.0243,-14.0575
10,45.13,6,9.4,-84.9412,-13.4534
36,279.27,10,13.08,-46.9511,-9.97975
6,9.38,14,17.22,37.5801,57.8682
4,-8.97,25,28.05,-40.2562,-26.1427
39,305.97,15,18.11,-53.5848,-41.8649
0,-44.68,19,22.13,26.7855,52.5694
0,-44.89,38,41.12,-57.3407,-40.1503
3,-17.91,32,35.52,19.9239,1.74311
0,-44.76,0,3.37,22.3302,34.3855
26,189.44,17,20.34,54.7428,29.1072
30,225.32,31,34.53,21.7859,3.06181
15,90.26,8,11.16,52.9469,67.7689
33,252.28,37,40.29,61.4878,35.5
5,0.47,9,12.16,-23.5995,-64.8388
19,126.26,13,16.28,-42.2212,-82.8636
12,63.4,8,11.08,16.417,45.1052
14,81.19,15,18.1,49.2404,8.6824
30,225.22,20,23.13,-47.2807,-36.9397
6,9.16,4,7.36,-64.7406,-62.5192
26,189.19,27,30.41,64.6439,6.79434
16,99.34,3,6.47,0.813475,1.82709
8,27.19,23,26,-41.2089,-74.3426
34,261.17,27,30.28,51.2207,40.018
37,288.29,1,4.5,-3.94006,-3.07831
21,144.52,9,12.55,26.7369,93.2424
9,36.53,4,7.05,-3.35468,-2.17855
24,171.39,19,21.99,-51.1948,-47.7399
23,162.44,5,7.97,-26.7855,-52.5694
30,225.41,36,39.36,42.3206,58.2492
28,207.18,33,36.44,19.5,33.775
34,261.16,34,37.26,-37.8245,-29.5517
35,270.09,39,42.35,-4.41021,-15.3802
33,252.22,23,26.18,64.0395,15.9668
15,90.44,7,10.36,7.94653,4.22524
32,243.17,12,15.07,73.8606,13.0236
2,-26.51,18,21.11,58.6889,12.4747
39,306.49,36,39.43,-19.0152,-17.7319
37,288.05,19,22.43,-84.4867,-41.2069
30,225.01,7,9.98,65.0098,16.2088
8,27.43,5,8.53,8.54861,6.92252
14,81,20,22.98,-15.7114,-54.7919
3,-17.75,30,33.47,12.5831,6.13719
25,180.05,4,7.4,77.6514,34.5726
37,288.19,3,6.28,-71.3932,-28.8447
38,297.41,4,7.19,-58.1037,-10.2452
21,144.26,6,9.52,34.7106,41.3664
7,18.15,11,13.98,-42.2862,-15.3909
30,225.08,29,32.5,-97.4632,-10.2438
21,144.13,28,31.03,66.2868,49.9506
8,27.35,12,15.31,-3.42021,-9.39692
6,9.34,29,32.17,2.00739,2.22943
20,135.27,13,16.21,2.76151,1.17219
20,135.08,9,12.34,92.7616,28.36
31,234.36,38,41.3,-18.5574,-53.8945
26,189.02,10,13.18,-4.69472,-8.82947
26,189.13,35,38.35,66.9504,16.6926
18,117.56,10,13.11,-23.3952,-29.9444
9,36.18,13,16.27,-52.863,-65.2802
33,252.27,3,6.29,73.5403,61.7076
26,189.39,10,13.25,27.7864,28.7736
7,18.04,28,31.32,-88.8652,-23.8113
31,234.54,38,41.05,6.53506,2.50857
32,243.21,7,10.44,52.4772,29.0886
14,81.26,10,12.97,-26.0961,-28.9826
0,-44.67,0,3.21,52.7983,4.61925
24,171.45,35,38.39,-11.1262,-4.49528
38,296.98,0,3.24,-69.166,-56.0095
9,36.15,21,24.22,-70.388,-43.9833
7,18.08,18,21.52,-20.7088,-48.7867
31,234.35,9,12.54,29.1757,30.2123
14,80.97,12,15.12,-48.7904,-48.7903
37,288.3,28,31.44,19.2894,12.5267
2,-26.78,18,21.16,18.4534,27.3582
1,-35.66,26,29.54,5.03538,4.86261
8,27.2,39,42.43,-40.4457,-19.7267
4,-8.91,18,21.51,-39.5817,-16.8014
1,-35.51,12,15.24,-0.469472,-0.882947
10,45.26,2,5.02,-23.5995,-64.8388
7,18.11,38,41.09,-7.26952,-10.7775
18,117.03,14,17.28,5.59194,8.29037
19,126.09,34,37.28,-79.2215,-11.1338
23,162.16,12,15.26,-41.207,-84.4866
17,108.5,19,21.98,-28.9914,-28.9914
0,-45,19,22.12,-68.0159,-63.4258
8,27.2,15,18.13,-26.163,-26.1629
28,207.38,20,22.99,-74.0521,-17.0963
28,207.22,30,33.08,30.5971,12.362
0,-44.47,0,3.54,-63.1673,-56.8761
14,81.43,4,7.46,-67.5179,-72.404
21,144.19,36,39.52,60.4109,13.947
38,297.56,0,3.52,-68.1174,-28.9141
13,72.23,26,29.11,18.5786,16.7283
6,9.36,13,16.08,-38.0252,-56.3745
22,153.46,2,5.28,45.5388,85.6459
34,261.56,0,3.15,-26.4613,-92.2811
3,-17.45,16,19.46,-14.8685,-8.24176
30,225.38,27,30.28,-6.6955,-11.1432
22,153.22,38,41.48,37.1905,79.7551
23,161.98,24,27.33,-42.0111,-16.1265
25,180.5,29,32.11,25.4733,63.0485
15,90.5,25,28.25,-21.5571,-48.4179
22,153.01,23,26.44,-47.3836,-78.8594
2,-26.96,23,26.15,-45.3012,-7.98781
20,135.04,23,26.02,53.3888,49.7859
38,297.38,25,28.34,-10.5066,-32.3359
12,63.35,29,32.28,-47.5434,-63.0922
18,117.41,7,10.38,36.6389,43.6645
37,288.46,4,7.4,12.9031,1.5843
28,207.54,14,17.5,-9.70821,-7.05342
36,279.02,14,17.14,-43.925,-33.0998
25,180.18,22,25.51,47.5528,15.4508
39,306.27,9,12.43,1.96818,2.26413
32,243.16,2,5.45,23.9087,2.09174
28,207.05,3,5.97,75.3422,20.1879
16,99.37,7,10.39,-69.6279,-48.754
20,134.97,35,38.16,-72.0854,-50.4747
35,270.54,31,34.12,10.1684,22.8386
37,288.12,9,12.26,-33.6423,-31.3719
2,-26.64,31,34.07,-42.8723,-9.89784
8,27.38,17,20.39,-50.7532,-23.6666
33,252.44,0,3.27,20.1415,19.4504
39,306.45,19,22.22,0.920505,0.390731
13,71.97,19,22.24,62.1213,25.0986
18,117.11,30,33.55,-27.1936,-83.6929
13,72.19,7,10,-41.0122,-41.0122
27,197.98,13,16.1,18.1698,5.55506
38,297.45,7,10.38,17.3867,4.65874
16,99.25,2,5.32,-72.2746,-58.5268
3,-17.58,7,10.39,-16.1081,-39.8689
1,-35.61,1,4,-73.8606,-13.0236
20,135.55,6,8.98,-65.7488,-5.75227
10,45.2,15,18.51,2.62225,6.49028
5,0.53,10,13.3,20.5388,7.88409
26,189.35,20,23,6.72457,21.995
10,45.13,39,42.38,-29.9686,-74.1747
28,207.15,30,33.02,35.9623,89.0096
25,180,17,20.08,66.1478,41.3337
5,0.48,15,18.55,-37.6813,-73.9535
23,162.2,20,22.97,46.075,41.4861
30,225,33,36.32,-61.8063,-32.863
23,162.14,25,28.53,-27.5638,-96.1261
36,279.42,8,11.17,11.4678,29.8746
0,-44.94,35,38.38,37.0874,14.9843
6,9.15,9,12.09,13.9798,20.7259
13,72.09,10,13.26,6.61997,8.78499
22,153.23,25,28.29,6.18047,10.286
26,189.14,7,10.09,19.9722,6.48935
2,-26.79,39,42.11,-45.344,-42.2839
5,0.15,32,35.03,-57.9653,-52.1922
12,63.54,30,33.39,-77.2963,-37.6999
19,126.32,38,41.02,-45.8475,-47.4764
25,180.39,37,40.46,-80.0839,-33.9936
36,279.44,29,32.35,4.97423,3.35515
14,81.1,9,12.51,-8.1746,-7.36043
8,27.03,19,22.07,-35.0698,-71.9035
17,108.23,21,24.02,-41.5253,-55.1058
3,-17.56,27,30.04,25.3571,54.3784
6,9.22,39,42.13,-0.996195,-0.0871557
38,297.45,3,5.97,45.9627,38.5672
7,18.07,38,41.13,28.3684,22.1638
23,162.28,20,23.42,-35.2292,-52.2293
25,180.45,35,38.37,-16.2198,-33.2554
12,63.51,25,28.08,-39.7018,-4.87477
13,72.16,13,16.45,-50.7532,-23.6666
11,54.15,36,39.55,27.4964,24.7578
36,279.25,16,19.47,-4.49397,-2.19185
36,279.44,20,23.05,-33.8137,-3.55396
13,72.46,23,26.13,-21.5021,-56.0148
3,-17.8,3,6.47,20.7854,54.1476
11,54.22,17,20.42,58.3128,45.5589
