A,B,C,D,E,F
24,134.04,30,40.2,-6.85734,-4.1203
33,197.16,36,46.45,50.854,56.479
22,120.15,12,22.44,62.098,34.4215
32,190.43,20,30.4,-27.5806,-8.96148
23,127.31,9,19.18,-15.4072,-7.1845
8,22.16,27,37.07,-78.5649,-34.9793
7,15.04,30,40,-14.3332,-49.9856
18,92.07,17,27.27,70.8789,30.0863
34,204.38,27,37.43,30.3086,21.2223
30,176.09,24,34.56,66.6888,29.6918
39,240.51,39,49.36,56.5087,30.0462
18,92.2,13,23.18,14.1842,11.0819
0,-33.67,3,13.14,35.9462,55.3522
37,225.29,13,23.01,19.9273,46.9457
26,148.18,14,24.08,60.3843,39.214
30,176.2,34,43.98,12.2797,40.1648
35,211.5,2,12.17,38.1838,38.1837
13,57.51,17,27.05,7.86648,21.6129
20,106.17,0,10.22,20.6902,30.6744
8,22,12,22.51,-87.7566,-33.6866
2,-19.74,19,29.25,28.3656,9.76704
27,155.34,27,37.18,-29.7991,-8.54475
13,56.99,7,17.47,-16.0381,-8.17182
38,231.99,34,44.15,65.3658,18.7433
29,169.25,7,17.5,-67.55,-39
1,-26.66,34,44.17,-40.873,-36.8022
14,64.41,26,36.5,24.5407,4.77022
6,8.16,10,20.22,14.0518,15.606
7,15.16,27,36.99,-30.529,-5.38309
5,1.47,35,45.01,21.1716,8.98681
10,36.53,27,37.33,-32.4308,-76.4019
25,141.2,17,27.49,-50.3721,-7.97815
20,106.52,25,35.07,-24.0108,-30.7324
35,211.17,18,28.2,34.6548,74.3172
10,36.17,10,20.43,-33.6089,-12.9012
16,78.31,2,12.4,-25.7024,-26.6156
35,211.25,27,37.01,0,0
11,43.09,11,21.13,-28.7544,-23.2848
15,71.27,5,15.43,7.64122,10.5172
26,148.33,39,49.05,11.3309,18.8577
34,204.07,10,20.26,-6.18063,-3.2863
0,-33.83,34,44.24,10.6985,13.2115
23,127.45,39,49.44,12.4343,10.0691
3,-12.51,24,34.45,80.2769,56.2105
20,106.33,6,16.56,-14.5009,-6.76189
3,-12.72,10,20.43,34.641,20
39,239.09,15,25.22,19.1261,5.84743
32,190.12,12,22,8.229,11.3262
37,225.55,13,22.98,17.8248,2.50511
23,127.15,19,29.26,33.5181,92.0898
21,113.5,6,16.08,16.2862,9.78572
6,8.28,31,41.51,61.4853,44.6716
26,147.97,38,48.08,78.9377,25.6484
0,-33.91,23,33.5,-33.8137,-3.55396
8,22.26,0,10.44,4.64881,9.96938
2,-19.71,15,24.98,32,55.4256
27,154.99,38,48.55,35.3386,6.86912
1,-26.68,7,17.09,45.6571,5.60599
25,141.23,35,45.17,45.0303,23.943
21,113.36,22,32.5,-22.2566,-35.618
35,211.49,18,28.48,-46.6497,-5.72785
26,148.1,16,26.21,8.61597,21.3252
30,176.54,28,38.46,-25.4442,-66.2842
4,-5.77,32,42.08,50.559,42.424
4,-5.56,6,16.15,11.3701,6.30252
24,134.25,28,38.99,7.42391,17.4896
16,78.34,27,37.29,-15.4866,-22.1171
25,141.53,27,37.3,-47.5467,-41.3317
19,98.98,14,24.4,42.5007,11.388
18,92.05,0,10.53,23.8396,12.6757
32,190.4,13,22.98,-32.8892,-11.9707
15,70.98,14,24.39,102.176,43.3711
32,190.16,16,26.29,23.3165,37.3141
20,106.33,7,17.52,-18.8747,-9.20579
15,71.47,12,22.44,-43.4961,-59.8672
32,190.08,2,12.43,-29.8093,-61.118
11,43.24,20,30.02,18.6409,22.2153
25,141.1,16,26.18,78.4747,57.0151
7,15.35,29,39.23,17.6777,17.6777
37,225.49,22,32.46,32.3607,23.5114
20,106.09,12,22.31,-41.4829,-6.57024
33,196.98,3,13.22,51.6026,28.6037
11,43.41,37,47.24,-36.3731,-21
20,106.14,5,15.26,-54.4473,-54.4472
22,120.17,22,32.01,-24.9303,-28.6789
5,1.19,7,17.54,-37.9004,-34.1256
13,57.19,39,49.33,-21.9762,-47.128
20,106.28,14,24.47,15.7432,8.72657
37,225.36,1,10.99,-30.1884,-26.2423
4,-5.81,37,47.15,-64.6033,-66.8986
13,57.41,5,14.97,-35.7487,-28.9487
29,169.04,9,19.25,-79.5876,-53.6825
10,36.13,20,30.14,39.0432,76.6265
1,-26.6,29,39.52,76.707,6.71099
11,43.18,12,22.17,-48.541,-35.2671
11,43.1,16,26.06,84.3664,10.3589
23,127.11,9,19.01,-23.7764,-7.72542
33,197.02,22,32.02,-22.869,-30.3481
24,134.13,24,34.1,-49.7682,-73.7843
23,127.31,23,33.05,48.2091,57.4533
39,239.55,20,30.44,-34.77,-21.7267
29,169,11,21.08,-0.453991,-0.891006
36,218.5,4,14.15,-12.2797,-40.1648
27,155.11,34,44.28,-92.7184,-37.4606
12,50.12,12,22.44,-94.1187,-23.4664
34,204.52,29,39.31,-18.7028,-18.0611
3,-12.47,4,14.32,-12.3637,-4.01722
5,1.4,36,46.38,-23.3952,-29.9444
20,105.98,33,43.43,25.2164,19.7012
4,-5.47,9,19.45,15.1283,5.20909
27,154.99,39,49.53,7.87158,4.36328
17,85.49,10,20.38,11.1679,15.3713
5,1.22,12,22.1,-12.2447,-6.78733
0,-33.65,35,45.31,3.5967,3.47329
19,99.26,8,18.45,45.7454,17.56
25,141.33,18,28.41,-16.901,-31.7861
10,36.39,0,10.29,-23.4293,-81.7072
21,113.17,36,46.11,-32.2162,-79.7378
20,106.43,21,31.25,89.6421,20.6955
39,239.09,19,29.24,-19.8813,-65.0287
3,-12.66,16,26.11,-24.7275,-8.03444
21,113.21,35,45.5,28.8896,2.52751
13,57.47,23,33.26,35.6799,67.104
4,-5.86,35,45.55,41.6872,38.8739
8,22.33,32,42.05,-23.5591,-4.57941
36,218.08,34,44.22,-49.8469,-23.244
38,232.04,24,34.22,-38.5673,-45.9626
27,155.22,16,26.47,13.906,23.1435
39,239,21,31.12,46.4597,66.3513
15,71.47,7,17.36,26.4884,14.0841
15,71.15,34,44.18,-66.1539,-70.9413
21,113.1,19,29.15,-37.7494,-18.4116
23,127.03,9,19.56,-82.4567,-16.0279
16,78.33,19,29.06,55.6257,29.5767
0,-33.73,15,25.24,-6.77228,-8.66811
2,-19.79,15,25.05,34.9794,78.5649
20,106.16,4,14.48,36.3369,89.9368
3,-12.82,29,39.41,27.1375,16.9574
20,106.05,5,15.28,76.0009,17.5462
24,134.15,18,28.48,-22.878,-79.7847
8,22.08,4,14.33,-60.5453,-7.43402
27,155.09,21,31.08,-4.68585,-16.3414
14,64.35,32,42.12,58.6222,20.1852
33,197.51,33,43.35,65.6384,6.89887
39,239.39,21,31.06,-68.7473,-64.1078
29,169.23,1,11.42,74.3173,34.6547
39,239.46,4,14.17,22.3988,48.0343
31,183.04,30,40.4,47.5001,82.2724
20,106.25,39,49.5,-0.618036,-1.90211
16,78.34,20,30.46,47.5434,63.0922
19,99.25,24,34.17,26.2665,80.8398
12,50.21,8,18.34,39.0468,87.7003
17,85.17,1,11.24,-31.5802,-91.7153
24,134.32,16,26.01,52.4848,60.3767
21,113.25,4,14.5,-77.9945,-28.3877
3,-12.87,23,33.25,-26.8983,-87.98
27,155.18,24,34.12,-12.6187,-18.0213
37,225.04,0,10.35,21.4876,62.4042
34,204.08,11,21.39,-82.8636,-42.2211
36,218.37,20,30.29,-70.4471,-49.3275
7,15.54,18,28.19,94.8803,20.1674
22,120.41,8,18.03,-23.3898,-76.5044
19,99.46,37,47.36,14.3078,22.8973
7,15.5,26,36.56,13.2442,7.04207
3,-12.8,14,24.52,-6.88292,-9.82982
5,1.24,29,39.01,3.09018,9.51056
3,-12.59,3,13.28,-56.134,-9.89794
1,-26.81,24,34.55,-16.776,-8.91995
33,197.26,8,18.17,39.6107,5.56692
5,1.52,19,29.36,74.6134,50.3273
31,183.05,26,36.18,21.0508,68.8539
0,-33.96,13,23.52,-76.5536,-29.3861
11,43.08,38,48.44,-73.6206,-53.4884
11,43.31,32,42.56,48.5484,55.8485
15,70.97,19,29.03,9.01068,6.30934
5,1.52,30,40.28,-43.6479,-46.8066
0,-33.75,1,11.22,2.08398,2.15802
13,57.51,22,32.48,28.1035,31.2121
34,204.02,17,27.36,15.8807,1.94991
23,127.48,4,14.2,-52.7633,-47.5082
5,1.51,2,12.32,70.692,32.9642
29,169.47,18,28.07,-3.99318,-3.00907
1,-26.95,28,38.52,9.80107,4.99389
38,232.22,27,37.32,13.9939,7.75695
39,238.97,27,37.2,-27.7048,-35.4605
23,127.37,3,13.42,21.8435,15.8702
16,78.45,23,33.43,42.1271,55.9045
28,162.4,18,28.46,70.1059,34.1929
11,43.33,27,37.56,-10.8636,-26.8883
15,71.08,35,45.31,49.3276,70.447
3,-12.74,22,32.24,-13.4223,-30.147
