A,B,C,D,E,F
29,179.4,32,66.19,-25.4415,-15.8976
16,88.07,20,54.36,0,0
23,137.29,8,42.26,14.1413,16.853
0,-23.51,2,36.16,-29.4032,-14.9817
26,158.11,0,34.13,-29.5683,-35.238
32,200.27,31,65.35,1.65808,1.11838
7,25.54,13,47.33,0.809017,0.587785
34,214.01,27,61.06,-48.5484,-55.8485
30,186.22,4,38.09,17.732,19.0152
26,158.55,38,72.55,28.2853,37.5358
6,18.2,29,64.21,-3.42867,-2.06015
18,102.04,24,58.04,39.3867,35.4639
39,249.17,14,48.24,14.6088,50.9469
4,4.08,29,63.49,-35.7084,-45.7046
37,235.03,11,45.15,50.5339,45.5009
27,165.4,36,70.31,31.0606,13.829
23,136.99,11,45.41,-67.7412,-5.92659
26,158.44,1,35.5,-35.9465,-73.7011
9,39.18,22,56.33,0.976707,2.83655
1,-16.92,9,43.45,22.6441,14.7052
6,17.98,5,39.29,-35.9473,-84.6864
4,4.26,38,72.04,25.4415,15.8976
32,199.99,26,60.53,-57.9918,-24.616
37,235.51,2,36.5,-19.5718,-29.0163
36,228.17,1,35.28,50.4554,12.5799
37,235.51,32,66.55,-52.3129,-72.0025
17,95.41,38,72.17,-23.0126,-9.76827
30,186.51,16,50.19,6.18047,10.286
25,151.33,24,58.33,-46.6427,-29.1455
28,172.13,12,46.07,-8.48048,-5.29919
19,109.32,29,63.15,6.71032,9.94845
36,228.21,8,42.36,0,0
23,137.29,31,64.99,-49.374,-67.9574
12,60.11,6,40.3,-11.836,-24.2674
11,53.25,31,65.44,53.2312,51.4047
29,178.99,2,36.12,-40.6737,-91.3545
36,228.48,25,59.48,-21.995,-6.72454
6,17.97,2,36.33,-15.733,-43.2258
32,200.45,23,57.55,69.5467,18.635
35,222.53,25,59.49,-68.6919,-42.9234
19,109.45,33,67.19,-40.0001,-69.282
28,171.97,37,71.37,66.1929,51.7155
0,-23.87,5,39.53,17.8744,14.4744
17,95.01,0,34.43,64.6719,21.0131
26,158.02,19,53.36,-12.7279,-12.7279
14,74.11,11,45.29,-20.9201,-1.83027
19,109.45,36,70.52,-22.506,-24.1347
27,165.17,25,59.32,-51.21,-9.0297
